Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2955181,2024-07-01T00:00:00Z,Missouri,Charleston,700 South Street,0,5,0,0,1
2956748,2024-07-01T00:00:00Z,Pennsylvania,Philadelphia,2700 Dickinson Street,1,3,0,1,1
2954458,2024-06-29T00:00:00Z,Georgia,Sylvania,Lawton Place Dr,0,6,0,0,0
2952812,2024-06-28T00:00:00Z,New York,Niagara Falls,11th Street and La Salle Avenue,0,4,0,0,0
2952577,2024-06-28T00:00:00Z,Texas,Corpus Christi,2600 Buford Street,2,3,0,0,0
2953462,2024-06-28T00:00:00Z,Nebraska,Crete,1200 Crestline Dr,0,7,1,0,0
2951432,2024-06-26T00:00:00Z,California,Lancaster,800 E Avenue J-12,2,5,0,0,2
2950871,2024-06-26T00:00:00Z,Wisconsin,Milwaukee,5912 W Oklahoma Avenue,0,4,0,0,2
2949852,2024-06-24T00:00:00Z,Nevada,North Las Vegas,370 Casa Norte Dr,5,1,1,0,0
2948840,2024-06-24T00:00:00Z,Ohio,Dayton,1530 Home Avenue,2,5,0,0,0
2950074,2024-06-24T00:00:00Z,Ohio,Dayton,4900 Genesee Avenue,0,4,1,0,0
2949287,2024-06-24T00:00:00Z,Pennsylvania,York,600 W Market Street,0,4,0,0,0
2947726,2024-06-23T00:00:00Z,Ohio,Columbus,1100 N High Street,0,10,0,0,0
2948227,2024-06-23T00:00:00Z,California,Vallejo,Spring Road and Monterey Street,1,3,0,0,0
2948042,2024-06-23T00:00:00Z,North Carolina,Winston Salem,2915 Streetarlight Dr,1,3,0,1,1
2947743,2024-06-23T00:00:00Z,Missouri,Saint Louis,N 11th Street and Market Street,1,5,0,0,1
2947774,2024-06-23T00:00:00Z,Florida,Tampa,11606 McKinley Dr,1,3,0,0,4
2947750,2024-06-23T00:00:00Z,New York,Rochester,353 Court Street,0,6,0,0,0
2948220,2024-06-23T00:00:00Z,New Jersey,Trenton,101 Walnut Avenue,1,3,0,0,1
2947849,2024-06-23T00:00:00Z,Alabama,Montgomery,N Pass Road and Coliseum Blvd,0,9,0,0,0
2947249,2024-06-22T00:00:00Z,Mississippi,Canton,Hickory Street,1,5,0,0,1
2947842,2024-06-22T00:00:00Z,Virginia,Glen Allen,11690 Old Washington Hwy,0,6,0,0,0
2946903,2024-06-22T00:00:00Z,Kentucky,Louisville,2523 West Broadway,1,7,0,0,0
2945819,2024-06-21T00:00:00Z,Arkansas,Fordyce,920 W 4th Street,4,9,0,1,1
2947288,2024-06-21T00:00:00Z,Mississippi,Meridian,500 53rd Avenue,1,3,0,0,0
2946833,2024-06-21T00:00:00Z,District of Columbia,Washington,14th Pl and Savannah Street Southeast,0,4,0,0,0
2944778,2024-06-19T00:00:00Z,California,Oakland,400 Grand Avenue,0,13,0,1,1
2944267,2024-06-19T00:00:00Z,Pennsylvania,Philadelphia,2800 N Bambrey Street,0,7,0,0,2
2943875,2024-06-18T00:00:00Z,California,Richmond,700 Pennsylvania Avenue,2,2,0,0,0
2943300,2024-06-17T00:00:00Z,Georgia,Macon,3700 Napier Avenue,1,3,0,0,0
2941749,2024-06-17T00:00:00Z,Illinois,Chicago,6000 S Winchester Avenue,0,7,0,0,0
2941737,2024-06-17T00:00:00Z,Illinois,Chicago,900 N Pulaski Road,0,5,0,0,0
2940961,2024-06-16T00:00:00Z,Arkansas,Pine Bluff,200 Lake Saracen Dr,1,3,0,0,0
2941065,2024-06-16T00:00:00Z,Massachusetts,Methuen,100 Lindberg Avenue,0,7,0,0,0
2941392,2024-06-16T00:00:00Z,Indiana,South Bend,1623 Lincoln Way W,0,4,0,0,0
2940418,2024-06-15T00:00:00Z,Ohio,Cincinnati,6300 Bramble Avenue,0,5,0,0,0
2940302,2024-06-15T00:00:00Z,Michigan,Rochester,1585 E Auburn Road,0,9,1,0,0
2940337,2024-06-15T00:00:00Z,Michigan,Southfield,17587 Margate Avenue,0,6,0,0,0
2940598,2024-06-15T00:00:00Z,Texas,Round Rock,1371 Harrell Pkwy,2,14,0,0,3
2940762,2024-06-15T00:00:00Z,Michigan,Detroit,17800 Albion Avenue,1,4,0,0,0
2940313,2024-06-15T00:00:00Z,Alabama,Tuskegee,207 E Martin Luther King Hwy,1,3,0,0,0
2939783,2024-06-14T00:00:00Z,West Virginia,Princeton,347 Meadowfield Ln,0,5,0,0,1
2939734,2024-06-14T00:00:00Z,Florida,Fort Lauderdale,2300 Northwest Eighth Street,1,4,0,0,0
2940564,2024-06-14T00:00:00Z,Pennsylvania,Philadelphia,3301 W York Street,1,4,0,0,0
2939289,2024-06-14T00:00:00Z,Illinois,Chicago,9100 S Harper Avenue,0,4,0,0,0
2939657,2024-06-14T00:00:00Z,Ohio,Columbus,205 N 5th Street,2,2,0,0,1
2939030,2024-06-13T00:00:00Z,Illinois,Chicago,11910 S Michigan Avenue,0,4,0,0,0
